Run,Iteration,Individual,Fitness,StringRepresentation
1,1,0,0.1555945740561459,(cos(abs(((sin(sqrt(cos(y)))*(((zminy)/(y/y))+sqrt(cos(0.5))))min((((y^0.5)^(ymaxy))maxabs(abs(0.5)))/sqrt(abs((z^z)))))))/((((abs((cos(z)-sqrt(0.5)))+((sqrt(y)^(0.5-y))min((z^0.5)minabs(y))))*sin(((cos(y)^cos(x))min(abs(0.5)^(0.5maxz)))))*(((sqrt((x/x))max(sqrt(y)/sin(y)))^sin(((0.5miny)^abs(0.5))))/abs(sqrt(((x-z)+sqrt(z))))))min((sqrt((((y+x)*(0.5*z))min((z-z)-sin(0.5))))min(((sqrt(0.5)max(zmin0.5))+(sqrt(z)^(y^x)))/(abs(abs(y))/((y*0.5)max(0.5*z)))))^((sqrt(((zmaxz)-(xmaxy)))-cos(((y-x)+(x+y))))+cos(((sqrt(y)^(xminz))maxsin(abs(x))))))))
1,1,1,0.17278024428747038,((((((cos((0.5+x))+(sin(z)mincos(x)))maxsqrt(sin((xmaxz))))^((sqrt((zminz))+(cos(z)^cos(0.5)))^(((zmax0.5)max(y-y))+sin((z/z)))))^(((sin((0.5+z))*sqrt((ymaxy)))-(((0.5+y)^sqrt(x))max((x+0.5)*(0.5/x))))+((cos((y+y))/sin((z/x)))-((sin(z)-sin(z))*((z*y)min(x*0.5))))))+sqrt((((((x*0.5)-(z-y))^((z^x)-cos(y)))max(((z^0.5)minabs(x))^sqrt(abs(y))))^((cos(sin(x))+abs((x^z)))-((sqrt(x)/(x^y))*((y+0.5)min(xmin0.5)))))))*(cos(((cos(((z*x)*(yminx)))min((cos(y)/(z+x))*sin((y+x))))-((sqrt((0.5/0.5))-(sqrt(y)/(x/0.5)))^sqrt(((zminz)*(z^x))))))/(sin(sin(sin((sqrt(x)^abs(x)))))minsin((((sin(y)mincos(0.5))maxcos(cos(0.5)))min(((0.5*z)^(y^y))^sqrt((z-0.5))))))))
1,1,2,0.1256471079490813,y
1,1,3,0.06223500065589733,abs((cos(sqrt((abs(((x/y)min(z^x)))max0.5)))/sin(sqrt(cos(x)))))
1,1,4,0.07176353039767863,sin((sqrt(sin(sqrt((cos((z-z))-abs((0.5maxx))))))/sqrt(sqrt(((abs((x/y))*abs((y^x)))^(abs((z*y))*((x^z)+(y-x))))))))
1,1,5,0.08922266505902804,(z/(z+((((sin((ymaxz))minz)*x)/abs(z))^y)))
1,1,6,0.05830091638773522,(abs(sqrt(cos(((abs(sqrt(y))/((x*z)/(xmax0.5)))minabs((sin(x)min(y/y)))))))^(cos((cos(((cos(y)-(0.5/y))+(abs(0.5)/(y-z))))+cos(sin(((ymaxz)+abs(z))))))/cos((((((y^z)maxsin(x))-((x/y)max(z^0.5)))min((sqrt(y)*(zminy))min((x/x)minsin(0.5))))^(abs(((xmin0.5)+(x/0.5)))+sin(sqrt(sqrt(0.5))))))))
1,1,7,0.08592799772115445,sin(((sqrt(cos((((z-x)max(y+x))*cos((0.5minz)))))min(((sqrt(cos(z))-abs(abs(x)))maxsin((sin(0.5)+(z^y))))-(abs(sqrt((0.5-0.5)))min(((z-x)+(z-0.5))maxcos(abs(z))))))min((((sqrt((y+x))+sqrt((0.5maxy)))+(sin((y-y))+cos(sqrt(x))))min(((cos(0.5)+(xmaxy))*((0.5-0.5)+(zmaxx)))*sqrt(((x^0.5)/(0.5maxx)))))/cos(cos((sin(sqrt(x))-sin(cos(x))))))))
1,1,8,0.05443327835100046,z
1,2,0,0.11791068025220329,((((((cos((0.5+x))+(sin(z)mincos(x)))maxsqrt(sin((xmaxz))))^((sqrt((zminz))+(cos(z)^cos(0.5)))^(((zmax0.5)max(y-y))+sin((z/z)))))^(((sin((0.5+z))*sqrt((ymaxy)))-(((0.5+y)^sqrt(x))max((x+0.5)*(0.5/x))))+((cos((y+y))/sin((z/x)))-((sin(z)-sin(z))*((z*y)min(x*0.5))))))+sqrt((((((x*0.5)-(z-y))^((z^x)-cos(y)))max(((z^0.5)minabs(x))^sqrt(abs(y))))^((cos(sin(x))+abs((x^z)))-((sqrt(x)/(x^y))*((y+0.5)miny))))))*(cos(((cos(((z*x)*(yminx)))min((cos(y)/(z+x))*sin((y+x))))-((sqrt((0.5/0.5))-(sqrt(y)/(x/0.5)))^sqrt(((zminz)*(z^x))))))/(sin(sin(sin((sqrt(x)^abs(x)))))minsin((((sin(y)mincos(0.5))maxcos(cos(0.5)))min(((0.5*z)^(y^y))^sqrt((z-0.5))))))))
