Run,Iteration,Individual,Fitness,StringRepresentation
1,1,0,0.05916574663932597,((((abs((cos((0.5max0.5))max(abs(z)/cos(0.5))))-(((abs(x)*sin(x))^sin(abs(z)))maxsqrt(((z^z)+(x+x)))))^(sin(sin(cos((z*0.5))))+cos((abs(abs(y))max((zmaxx)+(x/x))))))*(((cos(abs((zminy)))/(((z/x)+(x*y))-((y+y)maxcos(y))))*(abs(((x^y)^sin(x)))max((sin(0.5)-abs(x))+((0.5^y)+cos(0.5)))))*abs((sqrt(((y-x)maxcos(x)))-(cos((z*0.5))maxabs(sin(x)))))))max(((abs(abs(((xmaxz)+(y/0.5))))maxsin((sin((0.5^z))^(cos(y)/(xmaxz)))))/((abs((cos(y)max(0.5max0.5)))min(((z+y)-cos(0.5))max((0.5+z)^cos(z))))+sqrt((((z*0.5)*(y-0.5))-abs(cos(y))))))max((sin((cos(cos(x))^abs((ymaxy))))max((((y/y)^(zmax0.5))min(sin(z)/(y-y)))^abs(((0.5maxx)min(0.5/0.5)))))/(cos(sin(cos((0.5miny))))maxcos(sqrt((cos(y)max(z*z))))))))
1,1,1,0.11691201229803529,(sqrt(sin(abs((((sin(z)min(y*x))*sin((x+z)))min(((x^y)/sin(z))^abs(cos(0.5)))))))mincos(((sqrt(cos(cos(sin(z))))*cos(((abs(0.5)max(x/x))-((0.5/0.5)/(z-x)))))*(sqrt((((x*0.5)maxsqrt(0.5))-sin((yminy))))+cos((abs((y-x))/((x/z)-(z+0.5))))))))
1,1,2,0.15344542737391137,cos(sin((((((abs(z)minabs(z))+(sqrt(0.5)*cos(z)))^(((zmaxz)max(z*x))+cos((z^x))))^sin(abs(cos((z^y)))))/(abs(cos((cos(x)/sin(0.5))))*sin(abs((sin(z)minsin(z))))))))
1,1,3,0.11009445779100874,sqrt(cos((sqrt(((sqrt(abs(y))min((zminx)-sin(z)))-cos(cos(sin(0.5)))))+cos(((((x-y)^cos(x))^sqrt((0.5+y)))^abs(((x/z)^sin(0.5))))))))
1,1,4,0.0841893958287376,((((sin(sqrt(cos((ymin0.5))))/((cos(sqrt(0.5))*((x+0.5)+(zmaxx)))min((sqrt(0.5)*sin(y))*(cos(z)*cos(z)))))/(sin((cos(abs(z))-sin(abs(0.5))))minsqrt(((sqrt(y)maxsqrt(z))-((x*x)maxcos(y))))))^(abs((sin(cos((0.5^y)))^(((x+x)/(y/x))maxabs(abs(x)))))/((sqrt(((x/z)^cos(y)))max((abs(x)*(0.5max0.5))/abs((x*0.5))))max(sqrt(abs((xminz)))*(sqrt((z/x))+sin(sin(y)))))))*((((cos(((x-0.5)^(zmaxy)))-(((0.5/0.5)min(z^0.5))max((x-0.5)+sin(z))))maxsqrt(sin((cos(y)^(0.5max0.5)))))min(sin(((abs(x)^abs(x))*(abs(y)*(0.5/z))))+cos(sin(((0.5^y)+sin(y))))))*sin(cos(abs((abs(abs(z))maxabs(cos(z))))))))
1,1,5,0.09309458499384407,((y/abs(y))-(((((x/((0.5+x)*0.5))*z)maxsin((((z+0.5)min(y*y))*(z^cos(x)))))+(ymax(0.5-y)))-(ymin(sqrt(cos(sin((0.5+z))))/((((x+y)/sqrt(z))/(sqrt(z)max(xmin0.5)))/sqrt(((yminz)maxabs(0.5))))))))
1,1,6,0.0867621715307765,(((sin(sqrt((sqrt((z*x))+sqrt(sqrt(0.5)))))*sin((cos((sin(0.5)-(x-z)))/sin((abs(y)min(z*x))))))+cos((cos(abs(((y-0.5)maxabs(z))))*(((sin(0.5)-sin(x))-((0.5*0.5)+sin(z)))+(((0.5+0.5)maxabs(y))+((y-x)minsin(z)))))))*sin((((abs(abs(abs(y)))mincos(sin((y^z))))^cos(cos((sin(0.5)max(y-0.5)))))max((sin(abs(sin(x)))/(abs(abs(z))maxabs((0.5minx))))^(sqrt(((0.5^0.5)/(x-0.5)))^abs(((yminx)+sin(0.5))))))))
1,1,7,0.09924538800998133,((((((((x*0.5)+(zminy))/(sqrt(z)+cos(x)))/((cos(y)*sin(0.5))max(sin(z)+(0.5maxx))))min(abs((abs(x)^(z+y)))+(((z/z)-(0.5+x))/((y+x)*(0.5-z)))))max(((abs((xminx))+sqrt((zmin0.5)))max(abs((y^y))+cos(cos(y))))/sqrt((abs((xmaxz))*((0.5maxz)-(y/y))))))*((((sin((x*0.5))max((0.5minz)/(0.5-x)))/(sin((x-x))max((y-z)/(y-z))))*sqrt(((cos(x)^sin(y))maxcos((y+z)))))/(((abs(sqrt(0.5))*cos(sqrt(x)))maxcos(((x^0.5)^(0.5/x))))maxsqrt(((cos(0.5)^sin(y))/(sqrt(0.5)minabs(x)))))))^((((abs((cos(y)min(z+0.5)))/(((zminz)-(z+x))^((zmin0.5)*sin(0.5))))-cos(sqrt(((xmax0.5)min(y/z)))))*(cos(((cos(x)-(0.5+0.5))max((y*z)-(z-z))))^sin(sqrt(sin(cos(z))))))^((abs(abs(sin((zmaxx))))+abs(cos(((z+z)+sqrt(x)))))min(((cos((x+z))min((z+z)+(xmin0.5)))*sqrt(((0.5maxz)^sin(z))))/(sin(((y+z)min(xmin0.5)))+sin((sqrt(0.5)-abs(x))))))))
1,1,8,0.13945299999672256,(((((zmaxz)^(zmax(sin((ymaxx))^0.5)))max(sin(abs(0.5))+abs(x)))*(((ymaxz)max0.5)^z))minsin(((z+0.5)-abs(y))))
2,1,0,0.032973262442577304,(abs(((sqrt(abs(((y-x)-(x/y))))^(((sqrt(0.5)min(y^y))/((z*0.5)*(y/x)))/(abs(sqrt(z))^abs((0.5*x)))))*(((((x-x)/(ymaxx))*(cos(x)*(0.5*y)))max(cos(sin(z))*((z/x)^(y^z))))^(abs(abs(sqrt(0.5)))minabs(((z-z)^(z-x)))))))*(sqrt(sin(((abs(sqrt(x))+abs((z-x)))+((cos(x)max(x-z))max(sqrt(0.5)min(x^y))))))*(abs(((cos((xminx))min((z+x)^(z-0.5)))max(((y+y)^abs(x))^(abs(x)-(0.5^0.5)))))^sin((sqrt((sin(x)+(0.5+y)))-((cos(x)max(z-0.5))min((x*x)max(z+x))))))))
2,1,1,0.14077187843839944,(abs(sqrt(sin(sqrt((cos((zmaxx))min(z*(z^z)))))))-(xmax0.5))
2,1,2,0.06090471969365988,(sqrt(sin((((((z-z)min(xmin0.5))/((x+x)max(0.5+z)))-abs(sqrt(sin(y))))-(sqrt((sqrt(y)^(x/y)))^(abs((ymin0.5))^((z/y)max(y*x)))))))mincos(sin((((((x+y)^sin(x))+abs(sin(x)))/(((x+z)+(0.5-0.5))+((zmax0.5)*(x+z))))min((((zminz)-(yminx))-((0.5maxz)/(y*x)))-(abs((zmaxx))maxabs((y-x))))))))
2,1,3,0.04254407362026921,(x/abs(((0.5/((0.5maxabs((ymax0.5)))*sqrt(sqrt((0.5+y)))))+(ymin((sqrt((y+0.5))min((x-0.5)+(xminz)))+cos(y))))))
2,1,4,0.032963929219871776,((((((((ymaxx)^cos(0.5))maxsqrt((x^y)))-(sqrt((x+z))min((z^z)^(y*x))))max(cos(sqrt((0.5-y)))*(abs((0.5*y))maxcos(sin(x)))))*((abs((abs(0.5)min(0.5maxz)))+sin(abs((z+y))))minabs(cos(((x/0.5)^sin(0.5))))))min(((sin(((0.5-z)-(0.5-x)))max((sqrt(x)/abs(0.5))maxcos(sqrt(z))))-sin(sin(sin((z/y)))))*(((((z+0.5)*sqrt(z))+((x-0.5)/abs(y)))*(((0.5-0.5)/abs(x))-(sqrt(z)max(0.5*x))))^sin((((ymaxy)/(z*0.5))+((y^x)+sqrt(z)))))))^((cos(((((0.5+z)+(0.5*0.5))-((yminx)+(0.5+y)))+sqrt(sqrt((y^z)))))^((sin(((x*x)maxcos(x)))-((cos(x)/(xminy))/(abs(y)-abs(z))))-(abs(cos((z-y)))/(sqrt((zmin0.5))*((0.5/0.5)-abs(x))))))-(abs(((((0.5^z)+(z^0.5))maxcos((0.5^x)))max(((0.5/0.5)+sin(z))*(abs(y)max(x+x)))))minsqrt(((((0.5min0.5)*(x*z))-(cos(y)max(x+y)))^(((0.5maxy)/(0.5*0.5))*abs(abs(y))))))))
2,1,5,0.05333122396054735,((abs(((sqrt(((x+x)/sqrt(y)))maxsqrt(((y^z)min(y-z))))*sqrt(((abs(y)minabs(x))/(sqrt(x)/(x^x))))))min(((((sin(y)mincos(z))min((0.5+y)*(0.5/y)))*cos((sqrt(x)^sin(0.5))))*cos(((sqrt(z)minabs(y))max((x^0.5)min(x/0.5)))))max((sin((cos(z)^(x^x)))^(((0.5/0.5)^sqrt(z))/(abs(z)max(x+z))))*(((abs(y)minsqrt(0.5))+((z+x)^(z/x)))-(abs((y*y))*((y+y)/(y-z)))))))*cos(((((((x^x)max(0.5-x))max(sqrt(y)min(y/z)))*sqrt(abs((zmaxy))))*(((abs(0.5)-abs(0.5))/((y*0.5)+(x/x)))*(((0.5maxx)-abs(y))+abs((0.5+0.5)))))+(sqrt(((sin(x)/(x^y))^((0.5/y)minabs(0.5))))-((((z^0.5)/(xminy))*((zmaxy)min(y^z)))minsin(((0.5*0.5)/sqrt(y))))))))
2,1,6,0.10921402192952394,x
2,1,7,0.03258354419792475,sqrt((sqrt((sqrt(((sqrt(0.5)max(y/y))*sin(sqrt(y))))/abs((cos((yminy))/((y/y)max(x/z))))))/(((((sqrt(y)maxsin(0.5))+(abs(y)minsin(y)))+(sqrt((x^y))-((0.5maxx)^(z-0.5))))-(((abs(x)-(x+z))*((z+0.5)+(z^y)))min(abs((y^x))min((zmin0.5)+(y+y)))))-(cos(((abs(y)*(x*0.5))/(abs(y)maxsqrt(0.5))))+(sqrt((sqrt(z)min(zminz)))-(((0.5^0.5)min(zmin0.5))-((y/x)^(y+x))))))))
