Run,Iteration,Individual,Fitness,StringRepresentation
2,1,0,0.0,(0.62maxz)
2,1,1,3.0,sqrt(((((abs(sqrt(sin(0.62)))minsin(abs((y+y))))min(y*x))/(sqrt(abs((x/(x/0.62))))*z))/(x+((x+sqrt(cos((0.62*0.62))))maxsqrt((0.62+abs((z/z))))))))
2,1,2,2.0,(sqrt((sin(sin(((x-(0.62max0.62))+y)))*cos(cos((sin(y)+sin((z/0.62)))))))+((0.62^y)/(abs(z)min((0.62+(sqrt((xminz))*abs((0.62^z))))+(0.62-((0.62minabs(y))min((y/x)^cos(x))))))))
2,1,3,0.0,sin((0.62minz))
2,1,4,2.0,(cos(((cos((abs(cos(x))maxsin(sqrt(z))))/((((0.62maxx)^cos(x))max(sqrt(x)-(0.62^x)))/(((xmaxy)*(x^x))-((y*y)+(y/y)))))/sin(((sqrt(cos(z))minabs((zmaxy)))-sqrt(sqrt(abs(0.62)))))))+((sin(abs(sqrt(abs((y^0.62)))))-abs(sin(sqrt(cos((ymin0.62))))))max(((cos((abs(z)*(z/0.62)))+sin(cos((y*x))))-sqrt((((zmax0.62)/cos(x))min((0.62/y)-(z^0.62)))))+cos(cos((((y*y)*(x*x))-((ymaxx)+(z*0.62))))))))
2,1,5,3.0,((sin((sqrt((((0.62-y)/(0.62*y))*sin(sin(z))))min(sin(abs((x-x)))+(((0.62/0.62)^sin(z))*sin((y^z))))))^(sqrt(((cos(cos(z))max(cos(x)^(0.62maxz)))max((sqrt(0.62)/(zminy))^cos((0.62^x)))))min((cos(((x*z)+(y*x)))+sqrt(((zmax0.62)-(y*y))))+(cos(((0.62+y)/abs(x)))*abs(((x*0.62)+(y-y)))))))*(((((sqrt(abs(z))+((0.62/y)^sqrt(x)))*sin((sqrt(z)*(y/z))))^abs((((x*z)^(y+x))*((z^z)*sqrt(x)))))*(sqrt((((yminy)/(0.62-x))-((z+y)maxsin(z))))-cos(cos(((0.62/z)max(z/x))))))*abs((((((z+x)+(y-z))+((xmin0.62)/(0.62/0.62)))/(sin(cos(z))^((z*y)+(y/0.62))))^((((0.62*x)*(x/0.62))*((0.62+y)min(0.62*x)))minabs(sqrt((yminx))))))))
2,1,6,0.0,(y^(abs(cos((cos(sqrt((y+z)))*abs((sqrt(z)+(xmax0.62))))))/(x+z)))
2,1,7,0.0,(abs(sin(abs(z)))mincos((((abs(((xmaxz)miny))maxsqrt(((z+z)+y)))maxz)*x)))
2,1,8,0.0,y
2,2,0,1.0,sqrt(((((abs(sqrt(sin(0.62)))minsin(abs((y+y))))min(0.62+(sqrt((xminz))*abs((0.62^z)))))/(sqrt(abs((x/(x/0.62))))*z))/(x+((x+sqrt(cos((0.62*0.62))))maxsqrt((0.62+abs((z/z))))))))
2,2,1,2.0,(sqrt((sin(sin(((x-(0.62max0.62))+y)))*cos(cos((sin(y)+sin((z/0.62)))))))+((0.62^y)/(abs(z)min((y*x)+(0.62-((0.62minabs(y))min((y/x)^cos(x))))))))
2,2,2,0.0,((sin((sqrt((((0.62-y)/(0.62*y))*sin(sin(z))))min(sin(abs((x-x)))+(((0.62/0.62)^sin(z))*sin((y^z))))))^(sqrt(((cos(cos(z))max(cos(x)^(0.62maxz)))max((sqrt(0.62)/(zminy))^cos((0.62^x)))))min((cos(((x*z)+(y*x)))+sqrt(((zmax0.62)-(y*y))))+(cos(((0.62+y)/abs(x)))*abs(((0.62*0.62)+(y-y)))))))*(((((sqrt(abs(z))+((0.62/y)^sqrt(x)))*sin((sqrt(z)*(y/z))))^abs((((x*z)^(y+x))*((z^z)*sqrt(x)))))*(sqrt((((yminy)/(0.62-x))-((z+y)maxsin(z))))-cos(cos(((0.62/z)max(z/x))))))*abs((((((z+x)+(y-z))+((xmin0.62)/(0.62/0.62)))/(sin(cos(z))^((z*y)+(y/0.62))))^((((0.62*x)*(x/0.62))*((0.62+y)min(0.62*x)))minabs(sqrt((yminx))))))))
2,2,3,0.0,sqrt(((((abs(sqrt(sin(0.62)))minsin(abs((y+y))))min(y*x))/(sqrt(abs((x/(x/x))))*z))/(x+((x+sqrt(cos((0.62*0.62))))maxsqrt((0.62+abs((z/z))))))))
2,2,4,1.0,sqrt(((((abs(sqrt(sin(0.62)))minsin(abs((y+y))))min(((x+sqrt(cos((0.62*0.62))))maxsqrt((0.62+abs((z/z)))))*x))/(sqrt(abs((x/(x/0.62))))*z))/(x+((x+sqrt(cos((0.62*0.62))))maxsqrt((0.62+abs((z/z))))))))
